Neuron NPO,Completeness,Missing Nodes,Missing Node Name,Missing Edges,Missing Edge Name,Missing Segments,Missing Segment Name,Rendered Edges,Rendered Edge Name
ilxtr:sparc-nlp/mmset4/3c,missing,"('UBERON:0002366', ())
('ILX:0793807', ())
('ILX:0793823', ())
('ILX:0793834', ())","('bulbo-urethral gland', ())
('Penile cavernous nerve', ())
('major pelvic ganglion', ())
('accessory pelvic ganglion', ())","(('ILX:0793807', ()), ('ILX:0793834', ()))
(('ILX:0793807', ()), ('UBERON:0002366', ()))
(('ILX:0793807', ()), ('ILX:0793823', ()))","(('Penile cavernous nerve', ()), ('accessory pelvic ganglion', ()))
(('Penile cavernous nerve', ()), ('bulbo-urethral gland', ()))
(('Penile cavernous nerve', ()), ('major pelvic ganglion', ()))",,,,
ilxtr:sparc-nlp/mmset4/3e,missing,"('UBERON:0002014', ())
('ILX:0793809', ())
('ILX:0793808', ())
('UBERON:0006608', ())","('inferior hypogastric nerve plexus', ())
('Clitoral cavernous nerve', ())
('uterovaginal nerve plexus', ())
('corpus cavernosum clitoridis', ())","(('UBERON:0002014', ()), ('UBERON:0016508', ()))
(('UBERON:0002014', ()), ('ILX:0793808', ()))
(('ILX:0793809', ()), ('UBERON:0006608', ()))
(('ILX:0793808', ()), ('ILX:0793809', ()))","(('inferior hypogastric nerve plexus', ()), ('pelvic ganglion', ()))
(('inferior hypogastric nerve plexus', ()), ('uterovaginal nerve plexus', ()))
(('Clitoral cavernous nerve', ()), ('corpus cavernosum clitoridis', ()))
(('uterovaginal nerve plexus', ()), ('Clitoral cavernous nerve', ()))",,,,
ilxtr:sparc-nlp/mmset4/4a,missing,"('ILX:0793833', ())
('UBERON:0035772', ())","('ovarian nerve plexus parasympathetic ganglion', ())
('aortic plexus', ())","(('UBERON:0001759', ()), ('UBERON:0035772', ()))
(('UBERON:0035772', ()), ('ILX:0793833', ()))
(('UBERON:0001759', ()), ('UBERON:0009050', ()))","(('vagus nerve', ()), ('aortic plexus', ()))
(('aortic plexus', ()), ('ovarian nerve plexus parasympathetic ganglion', ()))
(('vagus nerve', ()), ('nucleus of solitary tract', ()))","('UBERON:0001759', ())","('vagus nerve', ())",,
ilxtr:sparc-nlp/mmset4/3,missing,"('UBERON:0002014', ())
('ILX:0793806', ())
('ILX:0793807', ())
('ILX:0793803', ())","('inferior hypogastric nerve plexus', ())
('prostatic nerve plexus', ())
('Penile cavernous nerve', ())
('inferior hypogastric nerve plexus ganglion', ())","(('UBERON:0002014', ()), ('ILX:0793806', ()))
(('ILX:0793806', ()), ('ILX:0793807', ()))
(('UBERON:0002014', ()), ('ILX:0793803', ()))
(('ILX:0793807', ()), ('UBERON:0004713', ()))","(('inferior hypogastric nerve plexus', ()), ('prostatic nerve plexus', ()))
(('prostatic nerve plexus', ()), ('Penile cavernous nerve', ()))
(('inferior hypogastric nerve plexus', ()), ('inferior hypogastric nerve plexus ganglion', ()))
(('Penile cavernous nerve', ()), ('corpus cavernosum penis', ()))",,,,
ilxtr:sparc-nlp/mmset4/12,missing,"('ILX:0793700', ())
('ILX:0793701', ())
('ILX:0793811', ())
('UBERON:0002262', ())
('ILX:0793812', ())","('Intermediolateral nucleus of fifth thoracic segment', ())
('Intermediolateral nucleus of sixth thoracic segment', ())
('Intermediolateral nucleus of seventh thoracic segment', ())
('celiac ganglion', ())
('Intermediolateral nucleus of eighth thoracic segment', ())","(('UBERON:0018680', ()), ('ILX:0793700', ()))
(('UBERON:0018680', ()), ('UBERON:0002262', ()))
(('UBERON:0018680', ()), ('ILX:0793812', ()))
(('UBERON:0018680', ()), ('ILX:0793701', ()))
(('UBERON:0018680', ()), ('ILX:0793811', ()))","(('greater splanchnic nerve', ()), ('Intermediolateral nucleus of fifth thoracic segment', ()))
(('greater splanchnic nerve', ()), ('celiac ganglion', ()))
(('greater splanchnic nerve', ()), ('Intermediolateral nucleus of eighth thoracic segment', ()))
(('greater splanchnic nerve', ()), ('Intermediolateral nucleus of sixth thoracic segment', ()))
(('greater splanchnic nerve', ()), ('Intermediolateral nucleus of seventh thoracic segment', ()))","('UBERON:0018680', ())","('greater splanchnic nerve', ())",,
ilxtr:neuron-type-sdcol-j-prime,missing,,,"(('ILX:0793657', ('UBERON:0001158',)), ('ILX:0773760', ('UBERON:0001158',)))","(('Myenteric nerve plexus of descending colon', ('descending colon',)), ('Circular muscle layer of descending colon', ('descending colon',)))",,,,
ilxtr:sparc-nlp/mmset2cn/1,missing,"('UBERON:0002058', ())
('UBERON:0001643', ())
('UBERON:0002141', ())","('main ciliary ganglion', ())
('oculomotor nerve', ())
('parvocellular oculomotor nucleus', ())","(('UBERON:0001643', ()), ('UBERON:0002058', ()))
(('UBERON:0001643', ()), ('UBERON:0002141', ()))","(('oculomotor nerve', ()), ('main ciliary ganglion', ()))
(('oculomotor nerve', ()), ('parvocellular oculomotor nucleus', ()))",,,,
ilxtr:sparc-nlp/mmset2cn/3,missing,"('UBERON:0003721', ())
('UBERON:0002149', ())
('UBERON:0009675', ())
('UBERON:0001647', ())
('UBERON:0002059', ())","('lingual nerve', ())
('superior salivatory nucleus', ())
('chorda tympani branch of facial nerve', ())
('facial nerve', ())
('submandibular ganglion', ())","(('UBERON:0001647', ()), ('UBERON:0002149', ()))
(('UBERON:0009675', ()), ('UBERON:0003721', ()))
(('UBERON:0003721', ()), ('UBERON:0002059', ()))
(('UBERON:0001647', ()), ('UBERON:0009675', ()))","(('facial nerve', ()), ('superior salivatory nucleus', ()))
(('chorda tympani branch of facial nerve', ()), ('lingual nerve', ()))
(('lingual nerve', ()), ('submandibular ganglion', ()))
(('facial nerve', ()), ('chorda tympani branch of facial nerve', ()))",,,,
ilxtr:neuron-type-pancr-4,missing,"('ILX:0793178', ())
('UBERON:0002384', ('UBERON:0001263',))
('ILX:0793613', ('UBERON:0001263',))
('UBERON:0005769', ('UBERON:0001263',))","('intrapancreatic ganglia', ())
('connective tissue', ('pancreatic acinus',))
('Epithelium of pancreatic acinus', ('pancreatic acinus',))
('basement membrane of epithelium', ('pancreatic acinus',))","(('ILX:0793178', ()), ('UBERON:0002384', ('UBERON:0001263',)))
(('UBERON:0005769', ('UBERON:0001263',)), ('ILX:0793613', ('UBERON:0001263',)))
(('UBERON:0002384', ('UBERON:0001263',)), ('UBERON:0005769', ('UBERON:0001263',)))","(('intrapancreatic ganglia', ()), ('connective tissue', ('pancreatic acinus',)))
(('basement membrane of epithelium', ('pancreatic acinus',)), ('Epithelium of pancreatic acinus', ('pancreatic acinus',)))
(('connective tissue', ('pancreatic acinus',)), ('basement membrane of epithelium', ('pancreatic acinus',)))",,,,
ilxtr:neuron-type-pancr-3,missing,"('UBERON:0000006', ())
('ILX:0793178', ())
('UBERON:0002384', ('UBERON:0001263',))","('islet of Langerhans', ())
('intrapancreatic ganglia', ())
('connective tissue', ('pancreatic acinus',))","(('ILX:0793178', ()), ('UBERON:0002384', ('UBERON:0001263',)))
(('UBERON:0002384', ('UBERON:0001263',)), ('UBERON:0000006', ()))","(('intrapancreatic ganglia', ()), ('connective tissue', ('pancreatic acinus',)))
(('connective tissue', ('pancreatic acinus',)), ('islet of Langerhans', ()))",,,,
ilxtr:neuron-type-pancr-2,missing,"('UBERON:0005734', ('UBERON:0001194',))
('ILX:0793676', ())
('UBERON:0005734', ('UBERON:0001193',))
('UBERON:0005479', ())
('UBERON:0002262', ())
('UBERON:0000006', ())
('UBERON:0005734', ('UBERON:0001195',))
('UBERON:0002384', ('UBERON:0001263',))
('UBERON:0005734', ('UBERON:0001182',))
('ILX:0793673', ())
('ILX:0793674', ())
('ILX:0793178', ())
('UBERON:0005734', ('UBERON:0006637',))","('tunica adventitia of blood vessel', ('splenic artery',))
('nerve plexus in adventitia of hepatic artery', ())
('tunica adventitia of blood vessel', ('hepatic artery',))
('superior mesenteric ganglion', ())
('celiac ganglion', ())
('islet of Langerhans', ())
('tunica adventitia of blood vessel', ('inferior pancreaticoduodenal artery',))
('connective tissue', ('pancreatic acinus',))
('tunica adventitia of blood vessel', ('superior mesenteric artery',))
('Nerve plexus in adventitia of splenic artery', ())
('nerve plexus in adventitia of inferior pancreaticoduodenal artery', ())
('intrapancreatic ganglia', ())
('tunica adventitia of blood vessel', ('celiac trunk',))","(('UBERON:0002384', ('UBERON:0001263',)), ('UBERON:0000006', ()))
(('UBERON:0002262', ()), ('UBERON:0005734', ('UBERON:0001182',)))
(('UBERON:0005734', ('UBERON:0001193',)), ('ILX:0793676', ()))
(('UBERON:0005734', ('UBERON:0001194',)), ('ILX:0793673', ()))
(('UBERON:0005734', ('UBERON:0001182',)), ('UBERON:0005479', ()))
(('UBERON:0005734', ('UBERON:0001195',)), ('UBERON:0002384', ('UBERON:0001263',)))
(('UBERON:0002384', ('UBERON:0001263',)), ('UBERON:0005734', ('UBERON:0001194',)))
(('UBERON:0002384', ('UBERON:0001263',)), ('UBERON:0005734', ('UBERON:0001193',)))
(('UBERON:0005734', ('UBERON:0001182',)), ('UBERON:0005734', ('UBERON:0001195',)))
(('UBERON:0002384', ('UBERON:0001263',)), ('ILX:0793178', ()))
(('UBERON:0005734', ('UBERON:0001194',)), ('UBERON:0005479', ()))
(('UBERON:0005734', ('UBERON:0006637',)), ('UBERON:0005734', ('UBERON:0001193',)))
(('UBERON:0002262', ()), ('UBERON:0005734', ('UBERON:0001194',)))
(('UBERON:0005734', ('UBERON:0006637',)), ('UBERON:0005479', ()))
(('UBERON:0005734', ('UBERON:0001195',)), ('ILX:0793674', ()))
(('UBERON:0002262', ()), ('UBERON:0005734', ('UBERON:0006637',)))","(('connective tissue', ('pancreatic acinus',)), ('islet of Langerhans', ()))
(('celiac ganglion', ()), ('tunica adventitia of blood vessel', ('superior mesenteric artery',)))
(('tunica adventitia of blood vessel', ('hepatic artery',)), ('nerve plexus in adventitia of hepatic artery', ()))
(('tunica adventitia of blood vessel', ('splenic artery',)), ('Nerve plexus in adventitia of splenic artery', ()))
(('tunica adventitia of blood vessel', ('superior mesenteric artery',)), ('superior mesenteric ganglion', ()))
(('tunica adventitia of blood vessel', ('inferior pancreaticoduodenal artery',)), ('connective tissue', ('pancreatic acinus',)))
(('connective tissue', ('pancreatic acinus',)), ('tunica adventitia of blood vessel', ('splenic artery',)))
(('connective tissue', ('pancreatic acinus',)), ('tunica adventitia of blood vessel', ('hepatic artery',)))
(('tunica adventitia of blood vessel', ('superior mesenteric artery',)), ('tunica adventitia of blood vessel', ('inferior pancreaticoduodenal artery',)))
(('connective tissue', ('pancreatic acinus',)), ('intrapancreatic ganglia', ()))
(('tunica adventitia of blood vessel', ('splenic artery',)), ('superior mesenteric ganglion', ()))
(('tunica adventitia of blood vessel', ('celiac trunk',)), ('tunica adventitia of blood vessel', ('hepatic artery',)))
(('celiac ganglion', ()), ('tunica adventitia of blood vessel', ('splenic artery',)))
(('tunica adventitia of blood vessel', ('celiac trunk',)), ('superior mesenteric ganglion', ()))
(('tunica adventitia of blood vessel', ('inferior pancreaticoduodenal artery',)), ('nerve plexus in adventitia of inferior pancreaticoduodenal artery', ()))
(('celiac ganglion', ()), ('tunica adventitia of blood vessel', ('celiac trunk',)))",,,,
ilxtr:sparc-nlp/mmset2cn/4,missing,"('UBERON:0001605', ())
('UBERON:0002058', ())
('UBERON:0022302', ())","('ciliary muscle', ())
('main ciliary ganglion', ())
('short ciliary nerve', ())","(('UBERON:0002058', ()), ('UBERON:0022302', ()))
(('UBERON:0022302', ()), ('UBERON:0001605', ()))","(('main ciliary ganglion', ()), ('short ciliary nerve', ()))
(('short ciliary nerve', ()), ('ciliary muscle', ()))",,,,
ilxtr:neuron-type-sdcol-j,missing,,,"(('ILX:0793657', ('UBERON:0001158',)), ('ILX:0776070', ('UBERON:0001158',)))","(('Myenteric nerve plexus of descending colon', ('descending colon',)), ('Longitudinal muscle layer of descending colon', ('descending colon',)))",,,,
ilxtr:sparc-nlp/mmset4/4b,missing,"('ILX:0793833', ())
('UBERON:0035772', ())","('ovarian nerve plexus parasympathetic ganglion', ())
('aortic plexus', ())","(('UBERON:0001719', ()), ('UBERON:0001759', ()))
(('UBERON:0035772', ()), ('ILX:0793833', ()))
(('UBERON:0001759', ()), ('UBERON:0035772', ()))","(('nucleus ambiguus', ()), ('vagus nerve', ()))
(('aortic plexus', ()), ('ovarian nerve plexus parasympathetic ganglion', ()))
(('vagus nerve', ()), ('aortic plexus', ()))","('UBERON:0001759', ())","('vagus nerve', ())",,
ilxtr:sparc-nlp/mmset4/10,missing,"('ILX:0793822', ())
('UBERON:0000992', ())","('Superior ovarian nerve', ())
('ovary', ())","(('ILX:0793082', ()), ('ILX:0793822', ()))
(('ILX:0793822', ()), ('UBERON:0000992', ()))","(('celiac ganglion- superior mesenteric ganglion complex', ()), ('Superior ovarian nerve', ()))
(('Superior ovarian nerve', ()), ('ovary', ()))",,,,
ilxtr:sparc-nlp/mmset4/11,missing,"('ILX:0793700', ())
('ILX:0793701', ())
('ILX:0793811', ())
('UBERON:0001236', ())
('ILX:0793812', ())","('Intermediolateral nucleus of fifth thoracic segment', ())
('Intermediolateral nucleus of sixth thoracic segment', ())
('Intermediolateral nucleus of seventh thoracic segment', ())
('adrenal medulla', ())
('Intermediolateral nucleus of eighth thoracic segment', ())","(('UBERON:0018680', ()), ('ILX:0793700', ()))
(('UBERON:0018680', ()), ('UBERON:0001236', ()))
(('UBERON:0018680', ()), ('ILX:0793812', ()))
(('UBERON:0018680', ()), ('ILX:0793701', ()))
(('UBERON:0018680', ()), ('ILX:0793811', ()))","(('greater splanchnic nerve', ()), ('Intermediolateral nucleus of fifth thoracic segment', ()))
(('greater splanchnic nerve', ()), ('adrenal medulla', ()))
(('greater splanchnic nerve', ()), ('Intermediolateral nucleus of eighth thoracic segment', ()))
(('greater splanchnic nerve', ()), ('Intermediolateral nucleus of sixth thoracic segment', ()))
(('greater splanchnic nerve', ()), ('Intermediolateral nucleus of seventh thoracic segment', ()))","('UBERON:0018680', ())","('greater splanchnic nerve', ())",,
ilxtr:sparc-nlp/mmset1/5,missing,"('UBERON:0002872', ())
('ILX:0793722', ())
('UBERON:0003963', ())
('UBERON:0036216', ())","('inferior salivatory nucleus', ())
('Lesser petrosal nerve', ())
('otic ganglion', ())
('tympanic nerve', ())","(('UBERON:0001649', ()), ('UBERON:0002872', ()))
(('UBERON:0036216', ()), ('ILX:0793722', ()))
(('UBERON:0001649', ()), ('UBERON:0036216', ()))
(('ILX:0793722', ()), ('UBERON:0003963', ()))","(('glossopharyngeal nerve', ()), ('inferior salivatory nucleus', ()))
(('tympanic nerve', ()), ('Lesser petrosal nerve', ()))
(('glossopharyngeal nerve', ()), ('tympanic nerve', ()))
(('Lesser petrosal nerve', ()), ('otic ganglion', ()))","('UBERON:0001649', ())","('glossopharyngeal nerve', ())",,
ilxtr:sparc-nlp/mmset1/10,missing,"('UBERON:0018412', ())
('UBERON:0002149', ())
('UBERON:0003962', ())
('UBERON:0001647', ())
('ILX:0793702', ())","('vidian nerve', ())
('superior salivatory nucleus', ())
('pterygopalatine ganglion', ())
('facial nerve', ())
('Greater petrosal nerve', ())","(('UBERON:0001647', ()), ('ILX:0793702', ()))
(('UBERON:0001647', ()), ('UBERON:0002149', ()))
(('UBERON:0018412', ()), ('UBERON:0003962', ()))
(('ILX:0793702', ()), ('UBERON:0018412', ()))","(('facial nerve', ()), ('Greater petrosal nerve', ()))
(('facial nerve', ()), ('superior salivatory nucleus', ()))
(('vidian nerve', ()), ('pterygopalatine ganglion', ()))
(('Greater petrosal nerve', ()), ('vidian nerve', ()))",,,,
ilxtr:sparc-nlp/prostate/16,missing,"('UBERON:0004243', ())
('UBERON:0011926', ())","('prostate gland smooth muscle', ())
('postganglionic sympathetic fiber', ())","(('UBERON:0011926', ()), ('UBERON:0016508', ()))
(('UBERON:0011926', ()), ('UBERON:0004243', ()))","(('postganglionic sympathetic fiber', ()), ('pelvic ganglion', ()))
(('postganglionic sympathetic fiber', ()), ('prostate gland smooth muscle', ()))",,,,
ilxtr:sparc-nlp/mmset4/5,missing,"('ILX:0793832', ())
('ILX:0793833', ())
('UBERON:0000992', ())","('ovarian nerve plexus', ())
('ovarian nerve plexus parasympathetic ganglion', ())
('ovary', ())","(('ILX:0793832', ()), ('UBERON:0000992', ()))
(('ILX:0793832', ()), ('ILX:0793833', ()))","(('ovarian nerve plexus', ()), ('ovary', ()))
(('ovarian nerve plexus', ()), ('ovarian nerve plexus parasympathetic ganglion', ()))",,,,
