Neuron NPO,Completeness,Missing Nodes,Missing Node Name,Missing Edges,Missing Edge Name,Missing Segments,Missing Segment Name,Rendered Edges,Rendered Edge Name
ilxtr:sparc-nlp/mmset4/3c,missing,"('ILX:0793823', ())
('ILX:0793834', ())
('ILX:0793807', ())
('UBERON:0002366', ())","('major pelvic ganglion', ())
('accessory pelvic ganglion', ())
('Penile cavernous nerve', ())
('bulbo-urethral gland', ())","(('ILX:0793807', ()), ('ILX:0793834', ()))
(('ILX:0793807', ()), ('UBERON:0002366', ()))
(('ILX:0793807', ()), ('ILX:0793823', ()))","(('Penile cavernous nerve', ()), ('accessory pelvic ganglion', ()))
(('Penile cavernous nerve', ()), ('bulbo-urethral gland', ()))
(('Penile cavernous nerve', ()), ('major pelvic ganglion', ()))",,,,
ilxtr:sparc-nlp/mmset4/3e,missing,"('ILX:0793808', ())
('ILX:0793809', ())
('UBERON:0002014', ())
('UBERON:0006608', ())","('uterovaginal nerve plexus', ())
('Clitoral cavernous nerve', ())
('inferior hypogastric nerve plexus', ())
('corpus cavernosum clitoridis', ())","(('UBERON:0002014', ()), ('ILX:0793808', ()))
(('UBERON:0002014', ()), ('UBERON:0016508', ()))
(('ILX:0793808', ()), ('ILX:0793809', ()))
(('ILX:0793809', ()), ('UBERON:0006608', ()))","(('inferior hypogastric nerve plexus', ()), ('uterovaginal nerve plexus', ()))
(('inferior hypogastric nerve plexus', ()), ('pelvic ganglion', ()))
(('uterovaginal nerve plexus', ()), ('Clitoral cavernous nerve', ()))
(('Clitoral cavernous nerve', ()), ('corpus cavernosum clitoridis', ()))",,,,
ilxtr:sparc-nlp/mmset4/4a,missing,"('ILX:0793833', ())
('UBERON:0035772', ())","('ovarian nerve plexus parasympathetic ganglion', ())
('aortic plexus', ())","(('UBERON:0001759', ()), ('UBERON:0035772', ()))
(('UBERON:0001759', ()), ('UBERON:0009050', ()))
(('UBERON:0035772', ()), ('ILX:0793833', ()))","(('vagus nerve', ()), ('aortic plexus', ()))
(('vagus nerve', ()), ('nucleus of solitary tract', ()))
(('aortic plexus', ()), ('ovarian nerve plexus parasympathetic ganglion', ()))","('UBERON:0001759', ())","('vagus nerve', ())",,
ilxtr:sparc-nlp/mmset4/3,missing,"('ILX:0793806', ())
('UBERON:0004713', ())
('UBERON:0002014', ())
('ILX:0793803', ())
('ILX:0793807', ())","('prostatic nerve plexus', ())
('corpus cavernosum penis', ())
('inferior hypogastric nerve plexus', ())
('inferior hypogastric nerve plexus ganglion', ())
('Penile cavernous nerve', ())","(('ILX:0793807', ()), ('UBERON:0004713', ()))
(('UBERON:0002014', ()), ('ILX:0793803', ()))
(('ILX:0793806', ()), ('ILX:0793807', ()))
(('UBERON:0002014', ()), ('ILX:0793806', ()))","(('Penile cavernous nerve', ()), ('corpus cavernosum penis', ()))
(('inferior hypogastric nerve plexus', ()), ('inferior hypogastric nerve plexus ganglion', ()))
(('prostatic nerve plexus', ()), ('Penile cavernous nerve', ()))
(('inferior hypogastric nerve plexus', ()), ('prostatic nerve plexus', ()))",,,,
ilxtr:sparc-nlp/mmset4/12,missing,"('ILX:0793811', ())
('ILX:0793701', ())
('UBERON:0002262', ())
('ILX:0793812', ())
('ILX:0793700', ())","('Intermediolateral nucleus of seventh thoracic segment', ())
('Intermediolateral nucleus of sixth thoracic segment', ())
('celiac ganglion', ())
('Intermediolateral nucleus of eighth thoracic segment', ())
('Intermediolateral nucleus of fifth thoracic segment', ())","(('UBERON:0018680', ()), ('UBERON:0002262', ()))
(('UBERON:0018680', ()), ('ILX:0793700', ()))
(('UBERON:0018680', ()), ('ILX:0793811', ()))
(('UBERON:0018680', ()), ('ILX:0793812', ()))
(('UBERON:0018680', ()), ('ILX:0793701', ()))","(('greater splanchnic nerve', ()), ('celiac ganglion', ()))
(('greater splanchnic nerve', ()), ('Intermediolateral nucleus of fifth thoracic segment', ()))
(('greater splanchnic nerve', ()), ('Intermediolateral nucleus of seventh thoracic segment', ()))
(('greater splanchnic nerve', ()), ('Intermediolateral nucleus of eighth thoracic segment', ()))
(('greater splanchnic nerve', ()), ('Intermediolateral nucleus of sixth thoracic segment', ()))","('UBERON:0018680', ())","('greater splanchnic nerve', ())",,
ilxtr:neuron-type-sdcol-j-prime,missing,,,"(('ILX:0793657', ('UBERON:0001158',)), ('ILX:0773760', ('UBERON:0001158',)))","(('Myenteric nerve plexus of descending colon', ('descending colon',)), ('Circular muscle layer of descending colon', ('descending colon',)))",,,,
ilxtr:sparc-nlp/mmset2cn/1,missing,"('UBERON:0001643', ())
('UBERON:0002058', ())
('UBERON:0002141', ())","('oculomotor nerve', ())
('main ciliary ganglion', ())
('parvocellular oculomotor nucleus', ())","(('UBERON:0001643', ()), ('UBERON:0002141', ()))
(('UBERON:0001643', ()), ('UBERON:0002058', ()))","(('oculomotor nerve', ()), ('parvocellular oculomotor nucleus', ()))
(('oculomotor nerve', ()), ('main ciliary ganglion', ()))",,,,
ilxtr:sparc-nlp/mmset2cn/3,missing,"('UBERON:0002059', ())
('UBERON:0009675', ())
('UBERON:0001647', ())
('UBERON:0003721', ())
('UBERON:0002149', ())","('submandibular ganglion', ())
('chorda tympani branch of facial nerve', ())
('facial nerve', ())
('lingual nerve', ())
('superior salivatory nucleus', ())","(('UBERON:0001647', ()), ('UBERON:0009675', ()))
(('UBERON:0001647', ()), ('UBERON:0002149', ()))
(('UBERON:0009675', ()), ('UBERON:0003721', ()))
(('UBERON:0003721', ()), ('UBERON:0002059', ()))","(('facial nerve', ()), ('chorda tympani branch of facial nerve', ()))
(('facial nerve', ()), ('superior salivatory nucleus', ()))
(('chorda tympani branch of facial nerve', ()), ('lingual nerve', ()))
(('lingual nerve', ()), ('submandibular ganglion', ()))",,,,
ilxtr:neuron-type-pancr-4,missing,"('UBERON:0002384', ('UBERON:0001263',))
('ILX:0793613', ('UBERON:0001263',))
('ILX:0793178', ())
('UBERON:0005769', ('UBERON:0001263',))","('connective tissue', ('pancreatic acinus',))
('Epithelium of pancreatic acinus', ('pancreatic acinus',))
('intrapancreatic ganglia', ())
('basement membrane of epithelium', ('pancreatic acinus',))","(('UBERON:0002384', ('UBERON:0001263',)), ('UBERON:0005769', ('UBERON:0001263',)))
(('ILX:0793178', ()), ('UBERON:0002384', ('UBERON:0001263',)))
(('UBERON:0005769', ('UBERON:0001263',)), ('ILX:0793613', ('UBERON:0001263',)))","(('connective tissue', ('pancreatic acinus',)), ('basement membrane of epithelium', ('pancreatic acinus',)))
(('intrapancreatic ganglia', ()), ('connective tissue', ('pancreatic acinus',)))
(('basement membrane of epithelium', ('pancreatic acinus',)), ('Epithelium of pancreatic acinus', ('pancreatic acinus',)))",,,,
ilxtr:neuron-type-pancr-3,missing,"('UBERON:0002384', ('UBERON:0001263',))
('ILX:0793178', ())
('UBERON:0000006', ())","('connective tissue', ('pancreatic acinus',))
('intrapancreatic ganglia', ())
('islet of Langerhans', ())","(('ILX:0793178', ()), ('UBERON:0002384', ('UBERON:0001263',)))
(('UBERON:0002384', ('UBERON:0001263',)), ('UBERON:0000006', ()))","(('intrapancreatic ganglia', ()), ('connective tissue', ('pancreatic acinus',)))
(('connective tissue', ('pancreatic acinus',)), ('islet of Langerhans', ()))",,,,
ilxtr:neuron-type-pancr-2,missing,"('UBERON:0005734', ('UBERON:0001194',))
('UBERON:0005734', ('UBERON:0006637',))
('ILX:0793676', ())
('UBERON:0000006', ())
('ILX:0793674', ())
('ILX:0793178', ())
('UBERON:0005734', ('UBERON:0001193',))
('UBERON:0005734', ('UBERON:0001195',))
('UBERON:0002384', ('UBERON:0001263',))
('UBERON:0005479', ())
('UBERON:0002262', ())
('ILX:0793673', ())
('UBERON:0005734', ('UBERON:0001182',))","('tunica adventitia of blood vessel', ('splenic artery',))
('tunica adventitia of blood vessel', ('celiac trunk',))
('nerve plexus in adventitia of hepatic artery', ())
('islet of Langerhans', ())
('nerve plexus in adventitia of inferior pancreaticoduodenal artery', ())
('intrapancreatic ganglia', ())
('tunica adventitia of blood vessel', ('hepatic artery',))
('tunica adventitia of blood vessel', ('inferior pancreaticoduodenal artery',))
('connective tissue', ('pancreatic acinus',))
('superior mesenteric ganglion', ())
('celiac ganglion', ())
('Nerve plexus in adventitia of splenic artery', ())
('tunica adventitia of blood vessel', ('superior mesenteric artery',))","(('UBERON:0005734', ('UBERON:0001194',)), ('UBERON:0005479', ()))
(('UBERON:0005734', ('UBERON:0001194',)), ('ILX:0793673', ()))
(('UBERON:0005734', ('UBERON:0001193',)), ('ILX:0793676', ()))
(('UBERON:0005734', ('UBERON:0001195',)), ('ILX:0793674', ()))
(('UBERON:0002384', ('UBERON:0001263',)), ('UBERON:0005734', ('UBERON:0001194',)))
(('UBERON:0005734', ('UBERON:0006637',)), ('UBERON:0005734', ('UBERON:0001193',)))
(('UBERON:0002384', ('UBERON:0001263',)), ('UBERON:0005734', ('UBERON:0001193',)))
(('UBERON:0005734', ('UBERON:0001182',)), ('UBERON:0005734', ('UBERON:0001195',)))
(('UBERON:0005734', ('UBERON:0001195',)), ('UBERON:0002384', ('UBERON:0001263',)))
(('UBERON:0002384', ('UBERON:0001263',)), ('UBERON:0000006', ()))
(('UBERON:0005734', ('UBERON:0006637',)), ('UBERON:0005479', ()))
(('UBERON:0002262', ()), ('UBERON:0005734', ('UBERON:0006637',)))
(('UBERON:0002384', ('UBERON:0001263',)), ('ILX:0793178', ()))
(('UBERON:0002262', ()), ('UBERON:0005734', ('UBERON:0001182',)))
(('UBERON:0002262', ()), ('UBERON:0005734', ('UBERON:0001194',)))
(('UBERON:0005734', ('UBERON:0001182',)), ('UBERON:0005479', ()))","(('tunica adventitia of blood vessel', ('splenic artery',)), ('superior mesenteric ganglion', ()))
(('tunica adventitia of blood vessel', ('splenic artery',)), ('Nerve plexus in adventitia of splenic artery', ()))
(('tunica adventitia of blood vessel', ('hepatic artery',)), ('nerve plexus in adventitia of hepatic artery', ()))
(('tunica adventitia of blood vessel', ('inferior pancreaticoduodenal artery',)), ('nerve plexus in adventitia of inferior pancreaticoduodenal artery', ()))
(('connective tissue', ('pancreatic acinus',)), ('tunica adventitia of blood vessel', ('splenic artery',)))
(('tunica adventitia of blood vessel', ('celiac trunk',)), ('tunica adventitia of blood vessel', ('hepatic artery',)))
(('connective tissue', ('pancreatic acinus',)), ('tunica adventitia of blood vessel', ('hepatic artery',)))
(('tunica adventitia of blood vessel', ('superior mesenteric artery',)), ('tunica adventitia of blood vessel', ('inferior pancreaticoduodenal artery',)))
(('tunica adventitia of blood vessel', ('inferior pancreaticoduodenal artery',)), ('connective tissue', ('pancreatic acinus',)))
(('connective tissue', ('pancreatic acinus',)), ('islet of Langerhans', ()))
(('tunica adventitia of blood vessel', ('celiac trunk',)), ('superior mesenteric ganglion', ()))
(('celiac ganglion', ()), ('tunica adventitia of blood vessel', ('celiac trunk',)))
(('connective tissue', ('pancreatic acinus',)), ('intrapancreatic ganglia', ()))
(('celiac ganglion', ()), ('tunica adventitia of blood vessel', ('superior mesenteric artery',)))
(('celiac ganglion', ()), ('tunica adventitia of blood vessel', ('splenic artery',)))
(('tunica adventitia of blood vessel', ('superior mesenteric artery',)), ('superior mesenteric ganglion', ()))",,,,
ilxtr:sparc-nlp/mmset2cn/4,missing,"('UBERON:0002058', ())
('UBERON:0022302', ())
('UBERON:0001605', ())","('main ciliary ganglion', ())
('short ciliary nerve', ())
('ciliary muscle', ())","(('UBERON:0022302', ()), ('UBERON:0001605', ()))
(('UBERON:0002058', ()), ('UBERON:0022302', ()))","(('short ciliary nerve', ()), ('ciliary muscle', ()))
(('main ciliary ganglion', ()), ('short ciliary nerve', ()))",,,,
ilxtr:neuron-type-sdcol-j,missing,,,"(('ILX:0793657', ('UBERON:0001158',)), ('ILX:0776070', ('UBERON:0001158',)))","(('Myenteric nerve plexus of descending colon', ('descending colon',)), ('Longitudinal muscle layer of descending colon', ('descending colon',)))",,,,
ilxtr:sparc-nlp/mmset4/4b,missing,"('ILX:0793833', ())
('UBERON:0035772', ())","('ovarian nerve plexus parasympathetic ganglion', ())
('aortic plexus', ())","(('UBERON:0001759', ()), ('UBERON:0035772', ()))
(('UBERON:0001719', ()), ('UBERON:0001759', ()))
(('UBERON:0035772', ()), ('ILX:0793833', ()))","(('vagus nerve', ()), ('aortic plexus', ()))
(('nucleus ambiguus', ()), ('vagus nerve', ()))
(('aortic plexus', ()), ('ovarian nerve plexus parasympathetic ganglion', ()))","('UBERON:0001759', ())","('vagus nerve', ())",,
ilxtr:sparc-nlp/mmset4/10,missing,"('ILX:0793822', ())","('Superior ovarian nerve', ())","(('ILX:0793082', ()), ('ILX:0793822', ()))
(('ILX:0793822', ()), ('UBERON:0000992', ()))","(('celiac ganglion- superior mesenteric ganglion complex', ()), ('Superior ovarian nerve', ()))
(('Superior ovarian nerve', ()), ('ovary', ()))",,,,
ilxtr:sparc-nlp/mmset4/11,missing,"('ILX:0793811', ())
('ILX:0793701', ())
('ILX:0793812', ())
('ILX:0793700', ())
('UBERON:0001236', ())","('Intermediolateral nucleus of seventh thoracic segment', ())
('Intermediolateral nucleus of sixth thoracic segment', ())
('Intermediolateral nucleus of eighth thoracic segment', ())
('Intermediolateral nucleus of fifth thoracic segment', ())
('adrenal medulla', ())","(('UBERON:0018680', ()), ('UBERON:0001236', ()))
(('UBERON:0018680', ()), ('ILX:0793700', ()))
(('UBERON:0018680', ()), ('ILX:0793811', ()))
(('UBERON:0018680', ()), ('ILX:0793812', ()))
(('UBERON:0018680', ()), ('ILX:0793701', ()))","(('greater splanchnic nerve', ()), ('adrenal medulla', ()))
(('greater splanchnic nerve', ()), ('Intermediolateral nucleus of fifth thoracic segment', ()))
(('greater splanchnic nerve', ()), ('Intermediolateral nucleus of seventh thoracic segment', ()))
(('greater splanchnic nerve', ()), ('Intermediolateral nucleus of eighth thoracic segment', ()))
(('greater splanchnic nerve', ()), ('Intermediolateral nucleus of sixth thoracic segment', ()))","('UBERON:0018680', ())","('greater splanchnic nerve', ())",,
ilxtr:sparc-nlp/mmset1/5,missing,"('ILX:0793722', ())
('UBERON:0003963', ())
('UBERON:0036216', ())
('UBERON:0002872', ())","('Lesser petrosal nerve', ())
('otic ganglion', ())
('tympanic nerve', ())
('inferior salivatory nucleus', ())","(('ILX:0793722', ()), ('UBERON:0003963', ()))
(('UBERON:0001649', ()), ('UBERON:0036216', ()))
(('UBERON:0036216', ()), ('ILX:0793722', ()))
(('UBERON:0001649', ()), ('UBERON:0002872', ()))","(('Lesser petrosal nerve', ()), ('otic ganglion', ()))
(('glossopharyngeal nerve', ()), ('tympanic nerve', ()))
(('tympanic nerve', ()), ('Lesser petrosal nerve', ()))
(('glossopharyngeal nerve', ()), ('inferior salivatory nucleus', ()))","('UBERON:0001649', ())","('glossopharyngeal nerve', ())",,
ilxtr:sparc-nlp/mmset1/10,missing,"('UBERON:0018412', ())
('UBERON:0001647', ())
('UBERON:0003962', ())
('ILX:0793702', ())
('UBERON:0002149', ())","('vidian nerve', ())
('facial nerve', ())
('pterygopalatine ganglion', ())
('Greater petrosal nerve', ())
('superior salivatory nucleus', ())","(('UBERON:0001647', ()), ('ILX:0793702', ()))
(('UBERON:0001647', ()), ('UBERON:0002149', ()))
(('UBERON:0018412', ()), ('UBERON:0003962', ()))
(('ILX:0793702', ()), ('UBERON:0018412', ()))","(('facial nerve', ()), ('Greater petrosal nerve', ()))
(('facial nerve', ()), ('superior salivatory nucleus', ()))
(('vidian nerve', ()), ('pterygopalatine ganglion', ()))
(('Greater petrosal nerve', ()), ('vidian nerve', ()))",,,,
ilxtr:sparc-nlp/prostate/16,missing,"('UBERON:0004243', ())
('UBERON:0011926', ())","('prostate gland smooth muscle', ())
('postganglionic sympathetic fiber', ())","(('UBERON:0011926', ()), ('UBERON:0004243', ()))
(('UBERON:0011926', ()), ('UBERON:0016508', ()))","(('postganglionic sympathetic fiber', ()), ('prostate gland smooth muscle', ()))
(('postganglionic sympathetic fiber', ()), ('pelvic ganglion', ()))",,,,
ilxtr:sparc-nlp/mmset4/5,missing,"('ILX:0793832', ())
('ILX:0793833', ())","('ovarian nerve plexus', ())
('ovarian nerve plexus parasympathetic ganglion', ())","(('ILX:0793832', ()), ('UBERON:0000992', ()))
(('ILX:0793832', ()), ('ILX:0793833', ()))","(('ovarian nerve plexus', ()), ('ovary', ()))
(('ovarian nerve plexus', ()), ('ovarian nerve plexus parasympathetic ganglion', ()))",,,,
